pl_name,default_flag,discoverymethod,disc_year,disc_facility,tran_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,st_rotp,st_rotperr1,st_rotperr2
OGLE-TR-10 b,1,Transit,2004,OGLE,1,3.101278,,,0.0,0.0434,0.0013,-0.0015,0.0,14.011,1.569,-1.345,0.0,197.046,44.494,-44.494,0.0,Mass,,,,,,,,,90.0,0.0,-3.9,0.0,,,,,,,,,,,,,,,,,,,,5950.0,130.0,,0.0,1.17,0.13,,0.0,1.14,0.12,,0.0,,,,,17h51m28.26s,267.8677483,-29d52m35.31s,-29.8764758,1344.97,111.665,-111.665,16.006,0.15,-0.15,13.692,,,13.314,0.121,-0.121,12.856,,,,,
Kepler-24 c,1,Transit,2011,Kepler,1,12.3335,,,0.0,0.106,,,0.0,2.8,,,0.0,508.5,,,1.0,Mass,,,,,,,,,,,,,,,,,3.71,,,0.0,,,,,,,,,,,,5800.0,200.0,-200.0,0.0,1.07,0.16,-0.23,0.0,1.03,0.11,-0.14,0.0,4.34,0.3,-0.3,0.0,19h21m39.18s,290.4132621,+38d20m37.42s,38.3437283,1156.81,32.08,-32.08,15.04,0.08,-0.08,13.763,0.023,-0.023,13.445,0.03,-0.03,13.372,0.037,-0.037,,,
Kepler-32 b,1,Transit,2011,Kepler,1,5.90124,0.0001,-0.0001,0.0,0.05,,,0.0,2.2,0.2,-0.2,0.0,1303.0,,,1.0,Mass,,,,,,,,,,,,,,,,,2.112,0.12,-0.12,0.0,,,,,0.0389,0.0019,-0.0019,0.0,,,,3900.0,200.0,-200.0,0.0,0.53,0.04,-0.04,0.0,0.58,0.05,-0.05,0.0,4.64,0.3,-0.3,0.0,19h51m22.15s,297.8423073,+46d34m27.69s,46.5743595,323.847,3.4025,-3.4025,16.36,0.549,-0.549,13.616,0.023,-0.023,12.901,0.024,-0.024,12.757,0.024,-0.024,,,
Kepler-370 c,1,Transit,2014,Kepler,1,19.02293,0.000177,-0.000177,0.0,0.14,,,0.0,1.91,0.89,-0.89,0.0,,,,,,,,,,,,,,,,,,0.35,0.24,-0.24,0.0,3.418,0.155,-0.155,0.0,,,,,,,,,,,,5852.0,200.0,-200.0,0.0,0.9,0.42,-0.42,0.0,,,,,4.53,0.3,-0.3,0.0,19h28m41.06s,292.1710683,+40d54m58.46s,40.9162381,1167.94,35.395,-35.395,15.467,0.024,-0.024,13.977,0.026,-0.026,13.65,0.031,-0.031,13.55,0.048,-0.048,,,
Kepler-400 b,1,Transit,2014,Kepler,1,9.024389,3.4e-05,-3.4e-05,0.0,0.087,,,0.0,1.65,0.3,-0.3,0.0,,,,,,,,,,,,,,,,,,0.01,0.23,-0.23,0.0,3.128,0.072,-0.072,0.0,,,,,,,,,,,,5886.0,100.0,-100.0,0.0,1.15,0.21,-0.21,0.0,,,,,4.35,0.15,-0.15,0.0,19h23m46.67s,290.9444679,+40d28m48.19s,40.4800528,845.97,,,13.762,0.16,-0.16,12.566,0.022,-0.022,12.289,0.023,-0.023,12.296,0.023,-0.023,,,
Kepler-221 b,1,Transit,2014,Kepler,1,2.795906,4e-06,-4e-06,0.0,0.037,,,0.0,1.71,0.17,-0.17,0.0,,,,,,,,,,,,,,,,,,0.61,0.24,-0.24,0.0,2.064,0.029,-0.029,0.0,,,,,,,,,,,,5243.0,100.0,-100.0,0.0,0.82,0.07,-0.07,0.0,,,,,4.54,0.15,-0.15,0.0,19h46m37.14s,296.6547477,+46d50m06.81s,46.8352242,385.231,2.8335,-2.8335,13.97,0.149,-0.149,12.413,0.021,-0.021,11.995,0.017,-0.017,11.9,0.019,-0.019,,,
Kepler-367 c,1,Transit,2014,Kepler,1,53.578637,0.000382,-0.000382,0.0,0.253,,,0.0,1.2,0.16,-0.16,0.0,,,,,,,,,,,,,,,,,,0.75,0.29,-0.29,0.0,5.236,0.128,-0.128,0.0,,,,,,,,,,,,4710.0,100.0,-100.0,0.0,0.69,0.04,-0.04,0.0,,,,,4.63,0.15,-0.15,0.0,19h49m10.21s,297.292558,+49d58m54.30s,49.9817499,188.027,0.86,-0.854,13.193,0.297,-0.297,11.243,0.024,-0.024,10.752,0.017,-0.017,10.674,0.014,-0.014,,,
Kepler-393 c,1,Transit,2014,Kepler,1,14.613612,0.000231,-0.000231,0.0,0.124,,,0.0,1.33,0.31,-0.31,0.0,,,,,,,,,,,,,,,,,,0.76,0.29,-0.29,0.0,5.401,0.191,-0.191,0.0,,,,,,,,,,,,6189.0,100.0,-100.0,0.0,1.38,0.26,-0.26,0.0,,,,,4.23,0.15,-0.15,0.0,19h23m58.85s,290.995205,+45d11m31.88s,45.192188,881.404,14.022,-13.598,13.258,0.103,-0.103,12.325,0.023,-0.023,12.087,0.021,-0.021,11.995,0.017,-0.017,,,
Kepler-304 c,1,Transit,2014,Kepler,1,5.315946,7e-06,-7e-06,0.0,0.054,,,0.0,2.17,0.15,-0.15,0.0,,,,,,,,,,,,,,,,,,0.49,0.12,-0.12,0.0,1.114,0.033,-0.033,0.0,,,,,,,,,,,,4731.0,100.0,-100.0,0.0,0.69,0.04,-0.04,0.0,,,,,4.63,0.15,-0.15,0.0,19h37m46.03s,294.4418031,+40d33m27.15s,40.5575408,434.684,5.295,-5.171,15.065,0.252,-0.252,13.243,0.024,-0.024,12.75,0.033,-0.033,12.626,0.033,-0.033,,,
Kepler-360 b,1,Transit,2014,Kepler,1,3.289672,1.2e-05,-1.2e-05,0.0,0.044,,,0.0,1.65,0.78,-0.78,0.0,,,,,,,,,,,,,,,,,,0.07,0.24,-0.24,0.0,2.312,0.068,-0.068,0.0,,,,,,,,,,,,6053.0,200.0,-200.0,0.0,1.06,0.5,-0.5,0.0,,,,,4.42,0.3,-0.3,0.0,19h05m08.33s,286.2847077,+44d46m53.69s,44.7815817,876.044,15.581,-15.054,15.011,0.126,-0.126,13.642,0.022,-0.022,13.299,0.02,-0.02,13.228,0.03,-0.03,,,
